,Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
302,4,0,1,2,1650,8,120,1094,100.08,60.0,4
303,5,0,1,2,1650,6,126,1124,100.09,27.0,4
304,6,0,1,2,1650,2,123,1059,100.2,13.0,4
305,7,0,1,2,1650,10,128,1121,100.23,14.0,4
306,8,0,1,2,1650,7,119,1146,100.33,5.6,4
307,9,0,1,2,1650,3,126,1167,100.43,2.4,4
308,1,0,0,2,1000,4,121,1130,56.73,14.0,3
309,2,0,0,2,1000,5,121,1127,56.93,3.2,3
310,3,0,0,2,1000,3,122,1188,56.94,2.1,3
311,4,0,0,2,1000,8,116,1112,56.96,6.6,3
312,5,0,0,2,1000,9,122,1193,57.14,68.0,3
313,6,0,0,2,1000,2,127,1163,57.18,39.0,3
314,7,0,0,2,1000,6,129,1074,57.73,12.0,3
315,8,0,0,2,1000,1,128,1132,57.75,22.0,3
316,9,0,0,2,1000,7,127,1126,58.2,21.0,3
317,1,0,0,2,1400,1,131,1059,82.42,8.8,5
318,2,0,0,2,1400,12,130,1162,82.43,3.7,5
319,3,0,0,2,1400,7,125,1162,83.05,7.8,5
320,4,0,0,2,1400,8,128,1176,83.14,12.0,5
321,5,0,0,2,1400,14,128,1190,83.32,20.0,5
322,6,0,0,2,1400,5,126,972,83.43,8.7,5
323,7,0,0,2,1400,4,133,1039,83.65,206.0,5
324,8,0,0,2,1400,3,117,1163,83.83,7.7,5
325,9,0,0,2,1400,6,120,1058,83.9,17.0,5
326,10,0,0,2,1400,13,120,1144,83.92,14.0,5
327,11,0,0,2,1400,10,124,1118,84.09,9.5,5
328,12,0,0,2,1400,9,133,1128,84.27,83.0,5
329,13,0,0,2,1400,2,132,1152,84.44,26.0,5
330,14,0,0,2,1400,11,128,1141,85.31,25.0,5
331,1,0,0,2,1400,10,124,1186,82.29,6.1,4
332,2,0,0,2,1400,6,125,1076,82.48,17.0,4
333,3,0,0,2,1400,2,126,1135,82.48,7.0,4
334,4,0,0,2,1400,9,114,1043,82.53,13.0,4
335,5,0,0,2,1400,7,114,1197,82.55,5.9,4
336,6,0,0,2,1400,5,124,1123,82.66,4.3,4
337,7,0,0,2,1400,3,118,1189,82.85,54.0,4
338,8,0,0,2,1400,1,123,1129,82.88,4.1,4
339,9,0,0,2,1400,8,122,1151,83.14,10.0,4
340,10,0,0,2,1400,4,131,1010,83.51,102.0,4
341,11,0,0,2,1400,11,111,1048,84.33,73.0,4
342,1,0,0,2,1600,7,131,1067,94.55,1.7,4
343,2,0,0,2,1600,11,127,1117,94.69,10.0,4
344,3,0,0,2,1600,4,115,1190,94.81,6.4,4
345,4,0,0,2,1600,10,123,1254,94.87,10.0,4
346,5,0,0,2,1600,9,124,1143,94.98,8.1,4
347,6,0,0,2,1600,3,115,1266,94.99,30.0,4
348,7,0,0,2,1600,6,111,1034,95.03,28.0,4
349,8,0,0,2,1600,1,130,1172,95.04,41.0,4
350,9,0,0,2,1600,5,120,1085,95.72,41.0,4
351,10,0,0,2,1600,2,131,1044,96.22,25.0,4
352,11,0,0,2,1600,8,118,1171,97.07,104.0,4
353,1,0,0,2,1200,5,128,1083,69.3,7.1,3
354,2,0,0,2,1200,6,119,1124,69.28,9.2,3
355,3,0,0,2,1200,8,121,1144,69.52,7.6,3
356,4,0,0,2,1200,4,122,1091,69.57,4.2,3
357,5,0,0,2,1200,7,108,1095,69.59,6.5,3
358,6,0,0,2,1200,3,127,1127,69.63,3.6,3
359,7,0,0,2,1200,2,116,1190,69.83,9.6,3
360,8,0,0,2,1200,1,123,1305,70.16,16.0,3
361,1,0,0,2,1200,10,125,1024,69.69,9.3,4
362,2,0,0,2,1200,2,119,1093,69.84,6.1,4
363,3,0,0,2,1200,1,128,1036,69.85,12.0,4
364,4,0,0,2,1200,3,128,997,69.91,2.5,4
365,5,0,0,2,1200,12,116,1170,69.96,78.0,4
366,6,0,0,2,1200,5,124,1131,70.11,86.0,4
367,7,0,0,2,1200,7,125,1145,70.26,68.0,4
368,8,0,0,2,1200,9,122,1110,70.28,39.0,4
369,9,0,0,2,1200,4,123,1032,70.34,195.0,4
370,10,0,0,2,1200,8,118,1185,70.37,10.0,4
371,11,0,0,2,1200,6,128,1081,70.53,6.3,4
372,12,0,0,2,1200,13,119,1141,70.68,36.0,4
373,13,0,0,2,1200,11,131,1171,71.17,8.2,4
374,1,0,1,2,1650,2,123,1274,98.69,2.1,3
375,2,0,1,2,1650,9,127,1177,98.73,17.0,3
376,3,0,1,2,1650,4,123,1114,99.07,10.0,3
377,4,0,1,2,1650,3,116,1077,99.12,7.0,3
378,5,0,1,2,1650,1,130,1110,99.39,5.8,3
379,6,0,1,2,1650,8,123,1136,99.66,8.0,3
380,7,0,1,2,1650,11,127,1071,99.73,30.0,3
381,8,0,1,2,1650,10,125,1035,100.2,98.0,3
382,9,0,1,2,1650,5,112,1049,100.28,90.0,3
383,10,0,1,2,1650,6,114,1159,100.87,17.0,3
384,11,0,1,2,1650,7,113,1214,102.11,27.0,3
385,1,0,0,2,1400,4,130,1190,82.01,4.1,2
386,2,0,0,2,1400,2,120,1160,82.2,11.0,2
387,3,0,0,2,1400,13,128,1048,82.21,46.0,2
388,4,0,0,2,1400,10,115,1261,82.22,47.0,2
389,5,0,0,2,1400,9,132,1047,82.23,10.0,2
390,6,0,0,2,1400,1,116,992,82.24,45.0,2
391,7,0,0,2,1400,11,128,1128,82.35,3.2,2
392,8,0,0,2,1400,3,117,1210,82.44,3.9,2
393,9,0,0,2,1400,6,130,1050,82.48,21.0,2
394,10,0,0,2,1400,12,130,1046,82.49,116.0,2
395,11,0,0,2,1400,7,118,1077,82.94,42.0,2
396,12,0,0,2,1400,14,112,1090,83.2,266.0,2
397,13,0,0,2,1400,5,122,1138,83.22,89.0,2
398,14,0,0,2,1400,8,114,1131,83.55,14.0,2
399,1,0,0,2,1800,3,125,1126,108.35,6.9,3
400,2,0,0,2,1800,7,119,1022,108.4,14.0,3
401,3,0,0,2,1800,2,117,1092,108.45,14.0,3
402,4,0,0,2,1800,5,133,1185,108.46,6.8,3
403,5,0,0,2,1800,1,129,1072,108.5,3.5,3
404,6,0,0,2,1800,6,122,1139,108.58,27.0,3
405,7,0,0,2,1800,4,118,1108,109.22,2.1,3
406,1,0,0,2,1200,3,124,1186,69.84,14.0,5
407,2,0,0,2,1200,5,118,1188,69.85,34.0,5
408,3,0,0,2,1200,8,125,1083,69.86,13.0,5
409,4,0,0,2,1200,1,115,1157,70.0,3.1,5
410,5,0,0,2,1200,7,130,1149,70.02,5.3,5
411,6,0,0,2,1200,10,122,1143,70.13,6.7,5
412,7,0,0,2,1200,4,125,1033,70.41,17.0,5
413,8,0,0,2,1200,11,120,1085,70.61,40.0,5
414,9,0,0,2,1200,6,131,1066,70.67,6.3,5
415,10,0,0,2,1200,12,110,1143,70.78,16.0,5
416,11,0,0,2,1200,9,122,1129,70.86,16.0,5
417,12,0,0,2,1200,2,118,1059,70.93,53.0,5
418,1,0,1,2,1200,11,128,1203,69.06,4.9,4
419,2,0,1,2,1200,6,131,1057,69.08,3.6,4
420,3,0,1,2,1200,3,120,1211,69.18,11.0,4
421,4,0,1,2,1200,12,124,1119,69.23,21.0,4
422,5,0,1,2,1200,5,119,1096,69.29,12.0,4
423,6,0,1,2,1200,10,120,1070,69.37,24.0,4
424,7,0,1,2,1200,1,125,1071,69.44,16.0,4
425,8,0,1,2,1200,9,118,1247,69.5,10.0,4
426,9,0,1,2,1200,7,122,1204,69.67,11.0,4
427,10,0,1,2,1200,8,112,1126,69.7,30.0,4
428,11,0,1,2,1200,4,129,1122,70.01,10.0,4
429,12,0,1,2,1200,2,132,1111,70.31,8.9,4
430,1,0,0,2,1400,10,119,1189,81.95,7.6,4
431,2,0,0,2,1400,3,125,1071,82.13,12.0,4
432,3,0,0,2,1400,12,126,1124,82.23,12.0,4
433,4,0,0,2,1400,2,120,1100,82.26,38.0,4
434,5,0,0,2,1400,9,121,1086,82.47,15.0,4
435,6,0,0,2,1400,8,109,1263,82.49,5.7,4
436,7,0,0,2,1400,6,130,1105,82.55,26.0,4
437,8,0,0,2,1400,11,133,1090,82.57,2.6,4
438,9,0,0,2,1400,1,132,1125,82.62,11.0,4
439,10,0,0,2,1400,4,120,1011,82.72,10.0,4
440,11,0,0,2,1400,13,126,1050,82.73,33.0,4
441,12,0,0,2,1400,7,127,1045,83.3,103.0,4
442,13,0,0,2,1400,14,119,1114,83.63,184.0,4
443,14,0,0,2,1400,5,108,1159,84.03,235.0,4
444,1,0,0,2,1200,11,125,1225,69.25,12.0,4
445,2,0,0,2,1200,3,129,1113,69.56,7.1,4
446,3,0,0,2,1200,6,119,1117,69.62,8.8,4
447,4,0,0,2,1200,5,126,1101,69.82,1.6,4
448,5,0,0,2,1200,2,119,1073,69.9,43.0,4
449,6,0,0,2,1200,8,130,1196,70.02,75.0,4
450,7,0,0,2,1200,7,108,1066,70.11,151.0,4
451,8,0,0,2,1200,1,127,1173,70.12,7.5,4
452,9,0,0,2,1200,10,130,1087,70.14,50.0,4
453,10,0,0,2,1200,9,121,1029,70.23,102.0,4
