Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
6,0,0,2,1200,5,124,1131,70.11,86,4
7,0,0,2,1200,7,125,1145,70.26,68,4
8,0,0,2,1200,9,122,1110,70.28,39,4
9,0,0,2,1200,4,123,1032,70.34,195,4
10,0,0,2,1200,8,118,1185,70.37,10,4
11,0,0,2,1200,6,128,1081,70.53,6.3,4
12,0,0,2,1200,13,119,1141,70.68,36,4
13,0,0,2,1200,11,131,1171,71.17,8.2,4
1,0,1,2,1650,2,123,1274,98.69,2.1,3
2,0,1,2,1650,9,127,1177,98.73,17,3
3,0,1,2,1650,4,123,1114,99.07,10,3
4,0,1,2,1650,3,116,1077,99.12,7,3
5,0,1,2,1650,1,130,1110,99.39,5.8,3
6,0,1,2,1650,8,123,1136,99.66,8,3
7,0,1,2,1650,11,127,1071,99.73,30,3
8,0,1,2,1650,10,125,1035,100.2,98,3
9,0,1,2,1650,5,112,1049,100.28,90,3
10,0,1,2,1650,6,114,1159,100.87,17,3
11,0,1,2,1650,7,113,1214,102.11,27,3
1,0,0,2,1400,4,130,1190,82.01,4.1,2
2,0,0,2,1400,2,120,1160,82.2,11,2
3,0,0,2,1400,13,128,1048,82.21,46,2
4,0,0,2,1400,10,115,1261,82.22,47,2
5,0,0,2,1400,9,132,1047,82.23,10,2
6,0,0,2,1400,1,116,992,82.24,45,2
7,0,0,2,1400,11,128,1128,82.35,3.2,2
8,0,0,2,1400,3,117,1210,82.44,3.9,2
9,0,0,2,1400,6,130,1050,82.48,21,2
10,0,0,2,1400,12,130,1046,82.49,116,2
11,0,0,2,1400,7,118,1077,82.94,42,2
12,0,0,2,1400,14,112,1090,83.2,266,2
13,0,0,2,1400,5,122,1138,83.22,89,2
14,0,0,2,1400,8,114,1131,83.55,14,2
1,0,0,2,1800,3,125,1126,108.35,6.9,3
2,0,0,2,1800,7,119,1022,108.4,14,3
3,0,0,2,1800,2,117,1092,108.45,14,3
4,0,0,2,1800,5,133,1185,108.46,6.8,3
5,0,0,2,1800,1,129,1072,108.5,3.5,3
6,0,0,2,1800,6,122,1139,108.58,27,3
7,0,0,2,1800,4,118,1108,109.22,2.1,3
1,0,0,2,1200,3,124,1186,69.84,14,5
2,0,0,2,1200,5,118,1188,69.85,34,5
3,0,0,2,1200,8,125,1083,69.86,13,5
4,0,0,2,1200,1,115,1157,70,3.1,5
5,0,0,2,1200,7,130,1149,70.02,5.3,5
6,0,0,2,1200,10,122,1143,70.13,6.7,5
7,0,0,2,1200,4,125,1033,70.41,17,5
8,0,0,2,1200,11,120,1085,70.61,40,5
9,0,0,2,1200,6,131,1066,70.67,6.3,5
10,0,0,2,1200,12,110,1143,70.78,16,5
11,0,0,2,1200,9,122,1129,70.86,16,5
12,0,0,2,1200,2,118,1059,70.93,53,5
1,0,1,2,1200,11,128,1203,69.06,4.9,4
2,0,1,2,1200,6,131,1057,69.08,3.6,4
3,0,1,2,1200,3,120,1211,69.18,11,4
4,0,1,2,1200,12,124,1119,69.23,21,4
5,0,1,2,1200,5,119,1096,69.29,12,4
6,0,1,2,1200,10,120,1070,69.37,24,4
7,0,1,2,1200,1,125,1071,69.44,16,4
8,0,1,2,1200,9,118,1247,69.5,10,4
9,0,1,2,1200,7,122,1204,69.67,11,4
10,0,1,2,1200,8,112,1126,69.7,30,4
11,0,1,2,1200,4,129,1122,70.01,10,4
12,0,1,2,1200,2,132,1111,70.31,8.9,4
1,0,0,2,1400,10,119,1189,81.95,7.6,4
2,0,0,2,1400,3,125,1071,82.13,12,4
3,0,0,2,1400,12,126,1124,82.23,12,4
4,0,0,2,1400,2,120,1100,82.26,38,4
5,0,0,2,1400,9,121,1086,82.47,15,4
6,0,0,2,1400,8,109,1263,82.49,5.7,4
7,0,0,2,1400,6,130,1105,82.55,26,4
8,0,0,2,1400,11,133,1090,82.57,2.6,4
9,0,0,2,1400,1,132,1125,82.62,11,4
10,0,0,2,1400,4,120,1011,82.72,10,4
11,0,0,2,1400,13,126,1050,82.73,33,4
12,0,0,2,1400,7,127,1045,83.3,103,4
13,0,0,2,1400,14,119,1114,83.63,184,4
14,0,0,2,1400,5,108,1159,84.03,235,4
1,0,0,2,1200,11,125,1225,69.25,12,4
2,0,0,2,1200,3,129,1113,69.56,7.1,4
3,0,0,2,1200,6,119,1117,69.62,8.8,4
4,0,0,2,1200,5,126,1101,69.82,1.6,4
5,0,0,2,1200,2,119,1073,69.9,43,4
6,0,0,2,1200,8,130,1196,70.02,75,4
7,0,0,2,1200,7,108,1066,70.11,151,4
8,0,0,2,1200,1,127,1173,70.12,7.5,4
9,0,0,2,1200,10,130,1087,70.14,50,4
10,0,0,2,1200,9,121,1029,70.23,102,4
11,0,0,2,1200,4,125,1095,70.38,126,4
12,0,0,2,1200,12,129,1259,70.52,29,4
1,0,1,2,1200,7,128,1092,68.66,6.3,3
2,0,1,2,1200,12,117,1300,68.7,11,3
3,0,1,2,1200,11,128,1148,68.72,7.6,3
4,0,1,2,1200,2,127,1097,68.73,2.4,3
5,0,1,2,1200,1,113,1071,68.9,13,3
6,0,1,2,1200,5,127,1134,68.99,56,3
7,0,1,2,1200,6,125,1200,69.01,7.2,3
8,0,1,2,1200,9,131,1222,69.1,16,3
9,0,1,2,1200,8,116,1261,69.21,65,3
10,0,1,2,1200,10,114,1201,69.23,16,3
11,0,1,2,1200,4,118,1257,69.33,30,3
12,0,1,2,1200,3,122,1116,69.49,60,3
1,0,0,2,1600,4,122,1221,93.93,9.5,2
2,0,0,2,1600,5,125,1079,94.12,7.9,2
3,0,0,2,1600,8,121,1051,94.12,3.5,2
4,0,0,2,1600,7,119,1022,94.13,27,2
5,0,0,2,1600,3,123,1067,94.24,4,2
6,0,0,2,1600,12,122,1114,94.58,36,2
7,0,0,2,1600,9,118,1023,94.59,8.8,2
8,0,0,2,1600,1,114,1200,94.63,5.1,2
9,0,0,2,1600,2,122,1201,94.68,14,2
10,0,0,2,1600,11,125,1174,95.74,95,2
1,0,1,2,1200,11,120,1035,68.35,4.9,2
2,0,1,2,1200,5,129,1075,68.49,7,2
3,0,1,2,1200,8,118,1128,68.62,80,2
4,0,1,2,1200,7,124,1238,68.68,4,2
5,0,1,2,1200,9,116,1292,68.69,42,2
6,0,1,2,1200,2,119,1139,68.72,4.5,2
7,0,1,2,1200,10,119,1162,68.82,59,2
8,0,1,2,1200,4,129,1091,68.83,8.3,2
9,0,1,2,1200,12,125,1248,68.85,32,2
10,0,1,2,1200,6,117,1134,69.27,109,2
11,0,1,2,1200,3,131,1248,69.27,7,2
12,0,1,2,1200,1,116,1137,69.42,23,2
1,0,0,2,1400,10,124,1057,82.15,13,3
2,0,0,2,1400,3,115,1032,82.16,7.2,3
3,0,0,2,1400,14,129,1142,82.29,5.3,3
4,0,0,2,1400,4,114,1150,82.33,3.6,3
5,0,0,2,1400,1,118,1168,82.4,10,3
