Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
10,5,MAGIC LEGEND(A170),D Whyte,J Moore,123,1006,6,4,2 2 10 ,1:11.30,6.8,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
11,10,PERPETUAL TREAS-1E(S191),M L Yeung,T P Yung,116,1130,10,9-1/2,3 6 11 ,1:12.21,62,18-19-18,Class 2,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,4,MICKEY RICH(B151),N Callan,P F Yiu,128,1093,9,-,6 5 1 ,1:11.35,10,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
2,11,TRAVEL SUCCESSOR(V121),K C Leung,W Y So,116,1125,12,SH,4 2 2 ,1:11.36,9.5,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
3,9,FOX CHEUNGER(B187),C Y Ho,K W Lui,119,1071,2,1/2,8 7 3 ,1:11.45,47,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
4,2,LONDON CITY(T080),D Whyte,D E Ferraris,132,1130,3,1-3/4,3 4 4 ,1:11.63,8.3,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
5,7,FIRE AND GOLD(B004),H N Wong,C H Yip,119,1071,6,2,9 9 5 ,1:11.69,26,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
6,8,SPLIT OF A SECOND(B027),Z Purton,L Ho,122,1085,11,2-3/4,11 10 6 ,1:11.77,3.4,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
7,3,PAKISTAN BABY(S442),A Sanna,A S Cruz,129,1025,4,3-1/4,10 11 7 ,1:11.85,8.7,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
8,12,SUPER E-1O STAR(V313),T H So,C W Chang,112,1066,10,3-1/4,2 3 8 ,1:11.87,28,18-19-30,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
