
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
5,3,NOT USUAL TALENT(C095),U Rispoli,T P Yung,128,1070,3,4-3/4,6 5 5 ,1:09.74,14,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
6,9,PLAY WISE(A411),W M Lai,C H Yip,118,1064,2,6-1/2,7 7 6 ,1:10.03,19,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
7,10,SHAMPORT(B167),C Y Ho,C Fownes,116,1085,7,7-1/2,10 11 7 ,1:10.18,21,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
8,5,BUOYANT BOY(A317),A Badel,K L Man,124,1032,4,8-1/2,9 10 8 ,1:10.34,25,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
9,2,BIG BANG BONG(V186),H N Wong,K H Ting,125,1081,10,11,11 12 9 ,1:10.76,80,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
10,1,SIR REDALOT(A196),J Moreira,J Size,133,1033,8,11-3/4,5 8 10 ,1:10.86,12,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
11,6,PLAY TO WIN(B468),C Wong,C W Chang,117,1066,11,11-3/4,2 4 11 ,1:10.88,220,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
12,8,VIVA COUNCIL(A190),M F Poon,L Ho,116,1136,9,13-1/4,1 1 12 ,1:11.10,47,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
WV,,BETTER CHOICE(A383),K C Leung,W Y So,117,---,---,---,---,---,---,20-21-306,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,9,YOUNG LEGEND(B097),K Teetan,C S Shum,117,1027,3,-,5 4 1 ,1:09.41,3.5,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
2,7,TEAM SPIRIT(B230),K C Leung,W Y So,120,1183,8,1/2,1 1 2 ,1:09.51,27,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
3,4,KEY WITNESS(S212),S de Sousa,A S Cruz,127,1210,4,1-1/4,9 10 3 ,1:09.61,9,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
4,12,TOP SCORE(V357),M Chadwick,K W Lui,116,1144,11,1-1/4,11 11 4 ,1:09.62,21,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
5,3,HAIR TRIGGER(A215),D Whyte,J Moore,127,1143,2,1-1/2,10 9 5 ,1:09.65,29,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
6,10,BULB ELITE(A183),H N Wong,P O'Sullivan,113,1161,1,1-3/4,8 6 6 ,1:09.70,26,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
7,1,JING JING WIN(V328),Z Purton,D J Hall,133,1091,7,2-1/4,3 2 7 ,1:09.77,4.6,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
8,5,GAMECHANGERS(A162),J Moreira,J Size,125,987,6,2-1/4,4 3 8 ,1:09.77,5.1,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
9,11,GENTLE BREEZE(B343),C Schofield,P F Yiu,116,1172,12,5,7 7 9 ,1:10.22,8.8,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
10,6,LUCKY DOLLAR(A021),U Rispoli,T P Yung,125,1200,9,11-1/4,6 8 10 ,1:11.19,14,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
11,2,FLYING BONUS(B433),W M Lai,C H Yip,129,1165,10,12-1/2,2 5 11 ,1:11.42,27,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
12,8,HERO TIME(B010),A Badel,R Gibson,118,1122,5,12-3/4,12 12 12 ,1:11.46,25,20-21-307,Class 3,ST,1200M,GOOD,"TURF - ""C"" Course"
