Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd
11,0,0,2,1200,1,116,1069,71.85,11.0
12,0,0,2,1200,8,119,1081,71.99,18.0
1,0,0,2,1200,5,127,1143,70.49,4.8
2,0,0,2,1200,3,110,1053,70.57,3.7
3,0,0,2,1200,2,124,1087,70.72,12.0
4,0,0,2,1200,6,121,1041,70.91,23.0
5,0,0,2,1200,1,123,1017,70.94,9.4
6,0,0,2,1200,8,118,1055,70.96,9.1
7,0,0,2,1200,7,127,1093,71.02,11.0
8,0,0,2,1200,10,116,1166,71.06,19.0
9,0,0,2,1200,12,122,1086,71.17,5.6
10,0,0,2,1200,9,128,1130,71.49,100.0
11,0,0,2,1200,4,122,1031,71.89,15.0
12,0,0,2,1200,11,119,1074,72.21,182.0
1,0,0,2,1800,2,119,1070,110.48,1.8
2,0,0,2,1800,4,113,1033,110.6,5.6
3,0,0,2,1800,3,124,1220,110.75,9.5
4,0,0,2,1800,5,119,1094,110.86,37.0
5,0,0,2,1800,12,119,1047,111.02,17.0
6,0,0,2,1800,9,116,1010,111.02,17.0
7,0,0,2,1800,1,123,976,111.03,33.0
8,0,0,2,1800,10,113,1074,111.16,12.0
9,0,0,2,1800,11,111,1094,111.26,99.0
10,0,0,2,1800,7,115,1091,111.32,11.0
11,0,0,2,1800,8,119,1134,111.42,51.0
12,0,0,2,1800,6,105,1075,111.51,38.0
1,0,0,2,1200,8,123,1210,70.49,10.0
2,0,0,2,1200,10,121,967,70.56,18.0
3,0,0,2,1200,5,125,1103,70.66,11.0
4,0,0,2,1200,11,116,1117,70.68,19.0
5,0,0,2,1200,3,132,1144,70.69,15.0
6,0,0,2,1200,12,118,1077,70.88,59.0
7,0,0,2,1200,2,127,1125,70.97,8.9
8,0,0,2,1200,7,116,1135,70.97,4.6
9,0,0,2,1200,1,128,1119,71.0,3.1
10,0,0,2,1200,9,133,1136,71.06,11.0
11,0,0,2,1200,6,119,1120,71.21,77.0
12,0,0,2,1200,4,120,1165,71.37,11.0
1 ,0,0,2,1200,2,124,1091,70.78,7.5
1 ,0,0,2,1200,1,120,1063,70.78,4.8
3,0,0,2,1200,3,115,1124,71.13,6.9
4,0,0,2,1200,5,127,1080,71.18,16.0
5,0,0,2,1200,6,131,1066,71.22,11.0
6,0,0,2,1200,8,126,1095,71.36,17.0
7,0,0,2,1200,11,125,1156,71.48,28.0
8,0,0,2,1200,12,118,1111,71.53,15.0
9,0,0,2,1200,4,127,987,71.68,4.5
10,0,0,2,1200,7,127,1067,71.69,7.5
11,0,0,2,1200,10,119,1139,71.95,21.0
12,0,0,2,1200,9,120,1209,72.02,36.0
-1,0,0,2,1200,0,120,0,0,-1
1,0,0,2,1650,1,123,1039,101.57,7.1
2,0,0,2,1650,3,127,1053,101.7,3.0
3,0,0,2,1650,4,126,1105,101.7,8.2
4,0,0,2,1650,8,122,970,101.89,7.6
5,0,0,2,1650,6,127,1170,101.92,42.0
6,0,0,2,1650,7,128,1104,102.28,12.0
7,0,0,2,1650,9,126,1100,102.33,5.0
8,0,0,2,1650,10,123,1175,102.37,16.0
9,0,0,2,1650,2,125,1117,102.42,10.0
10,0,0,2,1650,5,119,1047,102.45,169.0
11,0,0,2,1650,11,113,1187,102.58,37.0
1,0,0,2,1000,6,122,1078,57.57,18.0
2,0,0,2,1000,1,131,1137,57.66,2.4
3,0,0,2,1000,10,131,1121,57.77,17.0
4,0,0,2,1000,8,109,1156,58.01,6.4
5,0,0,2,1000,12,115,1013,58.06,18.0
6,0,0,2,1000,2,133,1268,58.07,5.0
7,0,0,2,1000,5,116,1182,58.32,28.0
8,0,0,2,1000,4,125,1079,58.36,86.0
9,0,0,2,1000,11,120,1159,58.39,13.0
10,0,0,2,1000,3,119,1056,58.6,14.0
11,0,0,2,1000,9,130,1088,58.82,24.0
12,0,0,2,1000,7,133,1140,59.26,22.0
1,0,0,2,1200,11,121,1170,70.32,8.0
2,0,0,2,1200,2,115,1103,70.39,2.9
3,0,0,2,1200,1,127,1151,70.52,9.4
4,0,0,2,1200,5,120,1072,70.7,8.2
5,0,0,2,1200,7,124,1198,70.71,4.8
6,0,0,2,1200,6,127,1100,70.81,11.0
7,0,0,2,1200,10,116,1083,70.97,38.0
8,0,0,2,1200,8,117,1017,71.07,25.0
9,0,0,2,1200,3,129,1203,71.14,11.0
10,0,0,2,1200,9,132,1142,71.49,39.0
11,0,0,2,1200,4,126,1175,71.74,61.0
12,0,0,2,1200,12,123,1088,71.77,35.0
1,0,0,2,1200,1,124,1115,70.21,18.0
2,0,0,2,1200,7,124,1076,70.4,3.4
3,0,0,2,1200,5,127,1182,70.41,7.0
4,0,0,2,1200,6,115,1052,70.42,12.0
5,0,0,2,1200,10,116,1098,70.51,9.9
6,0,0,2,1200,3,119,1059,70.67,3.1
7,0,0,2,1200,12,132,1000,70.68,27.0
8,0,0,2,1200,4,119,1023,70.78,28.0
9,0,0,2,1200,11,113,1155,70.9,256.0
10,0,0,2,1200,2,127,1059,70.92,14.0
11,0,0,2,1200,8,120,1101,71.41,13.0
12,0,0,2,1200,9,122,1156,71.52,261.0
-1,0,0,2,1200,0,133,0,0,-1
1,0,0,2,1000,10,120,1096,57.35,5.1
2,0,0,2,1000,8,118,1121,57.36,17.0
3,0,0,2,1000,9,116,1175,57.49,61.0
4,0,0,2,1000,4,126,986,57.51,5.0
5,0,0,2,1000,11,115,1174,57.52,25.0
6,0,0,2,1000,6,116,1072,57.58,14.0
7,0,0,2,1000,1,113,1083,57.6,4.1
8,0,0,2,1000,7,116,1153,57.78,49.0
9,0,0,2,1000,2,126,1144,57.98,7.8
10,0,0,2,1000,3,109,1123,58.03,5.1
11,0,0,2,1000,5,128,1113,58.24,21.0
1,0,0,2,1650,2,121,1040,100.28,6.1
2,0,0,2,1650,11,118,1186,100.28,9.1
3,0,0,2,1650,1,123,1026,100.45,2.5
4,0,0,2,1650,8,127,981,100.52,10.0
5,0,0,2,1650,4,126,1098,100.65,87.0
6,0,0,2,1650,7,131,1060,100.77,79.0
7,0,0,2,1650,5,120,1172,101.15,9.9
8,0,0,2,1650,6,131,1140,101.2,15.0
9,0,0,2,1650,12,123,1082,101.22,48.0
10,0,0,2,1650,10,123,1166,101.32,10.0
11,0,0,2,1650,9,117,1106,102.07,36.0
12,0,0,2,1650,3,124,1029,102.61,8.3
1,0,0,2,1200,1,117,1074,70.51,3.9
2,0,0,2,1200,5,116,1176,70.59,9.7
3,0,0,2,1200,2,120,1154,70.81,5.4
4,0,0,2,1200,4,121,1158,70.9,5.8
5,0,0,2,1200,6,122,1245,70.93,31.0
6,0,0,2,1200,9,133,1082,70.98,6.6
7,0,0,2,1200,7,117,1158,71.12,5.2
8,0,0,2,1200,3,123,1035,71.23,13.0
9,0,0,2,1200,10,116,1068,71.25,120.0
10,0,0,2,1200,8,123,1129,72.02,28.0
1,0,0,2,1650,3,123,1256,99.7,4.5
2,0,0,2,1650,6,115,1060,99.8,3.6
3,0,0,2,1650,1,124,1016,99.94,41.0
4,0,0,2,1650,5,116,1052,100.19,43.0
5,0,0,2,1650,2,127,1070,100.41,10.0
6,0,0,2,1650,7,119,955,100.43,7.1
7,0,0,2,1650,10,118,1018,100.43,23.0
8,0,0,2,1650,9,122,1079,100.45,8.4
9,0,0,2,1650,8,123,1142,101.53,4.0
10,0,0,2,1650,4,110,1123,101.86,51.0
1,0,0,2,1800,1,121,1016,110.58,2.1
2,0,0,2,1800,4,119,987,110.61,8.9
3,0,0,2,1800,7,131,1149,110.76,7.4
4,0,0,2,1800,10,122,1031,110.85,28.0
5,0,0,2,1800,12,118,1031,110.88,44.0
6,0,0,2,1800,3,133,1191,110.9,5.0
7,0,0,2,1800,9,117,1164,110.97,53.0
8,0,0,2,1800,5,115,1001,111.02,16.0
9,0,0,2,1800,8,127,1054,111.26,15.0
10,0,0,2,1800,2,123,984,111.52,120.0
11,0,0,2,1800,6,123,1091,113.54,13.0
12,0,0,2,1800,11,111,1103,114.82,130.0
1,0,0,2,1650,4,115,1083,100.36,7.0
2,0,0,2,1650,6,111,1024,100.36,9.3
3,0,0,2,1650,1,132,1170,100.42,6.2
4,0,0,2,1650,5,124,1133,100.62,4.0
5,0,0,2,1650,2,124,1130,100.62,5.2
6,0,0,2,1650,9,132,1113,100.66,8.6
7,0,0,2,1650,3,115,1104,100.87,8.8
8,0,0,2,1650,10,133,1093,101.18,14.0
9,0,0,2,1650,8,121,1036,101.21,33.0
10,0,0,2,1650,7,119,1083,101.23,34.0
-1,0,0,2,1650,0,121,0,0,-1
1,0,0,2,1000,11,125,1195,57.29,5.7
2,0,0,2,1000,2,128,1073,57.58,10.0
3,0,0,2,1000,7,126,1119,57.67,6.6
4,0,0,2,1000,12,115,1207,57.69,48.0
5,0,0,2,1000,6,125,1157,57.71,13.0
6,0,0,2,1000,3,133,1216,57.72,12.0
7,0,0,2,1000,9,128,1038,57.79,10.0
8,0,0,2,1000,5,128,1155,57.89,5.9
9,0,0,2,1000,10,117,1168,58.01,15.0
10,0,0,2,1000,1,117,1176,58.02,4.2
11,0,0,2,1000,4,129,1035,58.95,34.0
12,0,0,2,1000,8,120,1193,59.14,45.0
-1,0,0,2,1000,0,124,0,0,-1
1,0,0,2,1650,12,133,1032,99.65,2.6
2,0,0,2,1650,9,125,1113,99.84,46.0
3,0,0,2,1650,2,125,1041,100.05,7.2
4,0,0,2,1650,6,128,1166,100.21,12.0
5,0,0,2,1650,1,120,1093,100.22,7.9
6,0,0,2,1650,3,118,1290,100.28,3.6
7,0,0,2,1650,10,122,1037,100.45,74.0
8,0,0,2,1650,8,132,1087,100.46,151.0
9,0,0,2,1650,11,127,1205,100.5,14.0
10,0,0,2,1650,7,119,1155,100.6,43.0
11,0,0,2,1650,4,130,1161,100.64,14.0
12,0,0,2,1650,5,127,1096,100.7,100.0
1,0,0,2,1200,4,120,1089,69.67,1.4
2,0,0,2,1200,12,120,1221,69.86,14.0
3,0,0,2,1200,9,119,1200,69.98,24.0
4,0,0,2,1200,8,119,1140,70.06,16.0
5,0,0,2,1200,11,132,1222,70.08,21.0
6,0,0,2,1200,2,121,1143,70.18,7.7
7,0,0,2,1200,6,113,1067,70.38,19.0
8,0,0,2,1200,1,119,1073,70.42,67.0
9,0,0,2,1200,7,114,1009,70.46,14.0
10,0,0,2,1200,3,119,1138,70.9,118.0
11,0,0,2,1200,10,118,1089,71.0,247.0
12,0,0,2,1200,5,122,1123,71.67,100.0
1,0,0,1,2200,1,126,1068,135.94,7.3
2,0,0,1,2200,8,121,1039,136.15,11.0
3,0,0,1,2200,2,113,1178,136.17,6.0
4,0,0,1,2200,7,127,1162,136.23,7.6
5,0,0,1,2200,4,122,1047,136.33,8.7
6,0,0,1,2200,5,132,1061,136.39,6.0
7,0,0,1,2200,3,125,1037,136.42,12.0
8,0,0,1,2200,6,120,1114,136.97,3.0
1,0,0,1,1650,7,131,1039,100.31,7.8
2,0,0,1,1650,10,124,1139,100.52,11.0
3,0,0,1,1650,5,118,1116,100.71,18.0
4,0,0,1,1650,8,125,1042,100.72,14.0
5,0,0,1,1650,1,120,1030,100.74,3.4
6,0,0,1,1650,3,120,1163,100.79,10.0
7,0,0,1,1650,2,133,1154,100.98,2.9
8,0,0,1,1650,4,124,1064,101.14,9.3
9,0,0,1,1650,9,129,1165,101.16,37.0
10,0,0,1,1650,6,113,1058,101.31,113.0
1,0,0,1,1200,9,116,1136,70.13,3.1
2,0,0,1,1200,1,133,1016,70.41,3.7
3,0,0,1,1200,2,130,1103,70.5,6.0
4,0,0,1,1200,12,133,1202,70.51,32.0
5,0,0,1,1200,7,116,1132,70.7,14.0
6,0,0,1,1200,10,124,1088,70.71,9.7
7,0,0,1,1200,5,129,1193,70.82,11.0
8,0,0,1,1200,6,122,1056,70.91,41.0
9,0,0,1,1200,8,129,1082,71.01,11.0
10,0,0,1,1200,3,127,1119,71.08,206.0
11,0,0,1,1200,11,120,1068,71.43,31.0
12,0,0,1,1200,4,128,984,71.47,40.0
1,0,0,1,1000,3,127,1149,57.36,6.2
2,0,0,1,1000,1,124,1156,57.42,4.6
3,0,0,1,1000,5,113,1187,57.47,4.3
4,0,0,1,1000,2,124,1053,57.57,13.0
5,0,0,1,1000,10,125,1121,57.67,11.0
6,0,0,1,1000,6,133,1024,57.76,7.9
7,0,0,1,1000,11,127,1072,57.94,13.0
8,0,0,1,1000,8,114,1183,58.0,18.0
9,0,0,1,1000,9,117,1132,58.22,134.0
10,0,0,1,1000,12,114,1166,58.25,6.0
11,0,0,1,1000,7,116,1204,58.51,78.0
12,0,0,1,1000,4,119,1152,58.96,220.0
1,0,0,1,1200,1,126,1173,69.6,1.7
2,0,0,1,1200,5,133,1121,70.07,5.7
3,0,0,1,1200,3,124,1210,70.21,10.0
4,0,0,1,1200,6,117,1207,70.22,8.8
5,0,0,1,1200,4,127,1013,70.26,63.0
6,0,0,1,1200,11,117,1088,70.35,8.8
7,0,0,1,1200,7,124,1179,70.38,15.0
8,0,0,1,1200,9,130,1095,70.46,30.0
9,0,0,1,1200,12,123,1072,70.82,177.0
10,0,0,1,1200,2,130,1072,70.93,80.0
11,0,0,1,1200,8,114,1171,70.97,181.0
